sell_date,buy_date,etf_code,etf_name,theme,style,shares,sell_price,cost,proceeds,pnl,pnl_pct,holding_days,exit_type
2023-08-14,2023-07-31,515210.SH,钢铁ETF,钢铁,cyclical_value,29197.07258412843,1.313,39661.519456617185,38324.255576069736,-1337.263880547449,-0.03371690996382989,14,stop_loss_or_rebalance
2023-08-28,2023-07-31,515210.SH,钢铁ETF,钢铁,cyclical_value,29951.534255923645,1.286,40686.385774600174,38506.11775120188,-2180.2680233982974,-0.05358716390973715,28,stop_loss_or_rebalance
2023-10-16,2023-08-28,512000.SH,券商ETF,证券,cyclical_value,40508.2623646699,0.89,39750.5269613551,36041.53779850484,-3708.989162850259,-0.09330666651176941,49,stop_loss_or_rebalance
2023-10-16,2023-04-24,510880.SH,红利ETF,红利,stable_value,46349.73186196052,3.075,138488.18306639759,142482.66784788592,3994.4847814883396,0.02884350630532282,175,take_profit
2023-10-16,2023-05-22,510880.SH,红利ETF,红利,stable_value,20512.16674540103,3.075,62745.02376920859,63055.99026828554,310.96649907695246,0.00495603444538905,147,take_profit
2023-10-30,2023-05-22,510880.SH,红利ETF,红利,stable_value,8148.707482139653,2.974,24926.22310462717,24226.985775067762,-699.237329559408,-0.028052277580296762,161,stop_loss_or_rebalance
2023-10-30,2023-07-17,510880.SH,红利ETF,红利,stable_value,67266.76626848728,2.974,200178.66523764428,199991.34747361642,-187.31776402785908,-0.0009357528875791172,105,stop_loss_or_rebalance
2023-10-30,2023-08-14,510880.SH,红利ETF,红利,stable_value,40867.08462669987,2.974,122883.31032477616,121502.24806690146,-1381.0622578746988,-0.01123881065886491,77,stop_loss_or_rebalance
2023-11-27,2023-11-13,515220.SH,煤炭ETF,煤炭,cyclical_value,17333.67075171982,2.345,39133.83151509762,40635.26367540914,1501.432160311524,0.03836660255800099,14,take_profit
2023-11-27,2023-11-13,512010.SH,医药ETF,医药,growth,89935.8503140957,0.43,39133.83151509762,38660.813910370634,-473.01760472698516,-0.012087178444167868,14,stop_loss_or_rebalance
2024-01-22,2024-01-08,510880.SH,红利ETF,红利,stable_value,116935.82145729111,2.881,352667.2701442408,336791.03398797015,-15876.236156270665,-0.0450176058293623,14,stop_loss_or_rebalance
2024-03-11,2024-01-22,512800.SH,银行ETF,银行,stable_value,241328.99816159377,1.164,257092.48765701,280822.6817739371,23730.194116927072,0.09230216850437806,49,take_profit
2024-04-22,2024-03-11,159819.SZ,人工智能ETF,人工智能,growth,154190.49606130944,0.693,119379.24698463893,106821.95756635627,-12557.289418282657,-0.105188210978567,42,stop_loss_or_rebalance
2024-04-22,2024-03-25,159819.SZ,人工智能ETF,人工智能,growth,366978.3604056403,0.693,280822.66724402795,254239.70895998037,-26582.958284047578,-0.09466101346066785,28,stop_loss_or_rebalance
2024-04-22,2024-01-22,512800.SH,银行ETF,银行,stable_value,13502.566452335037,1.204,14384.547341718333,16252.2128816088,1867.6655398904677,0.12983832549765603,91,take_profit
2024-06-17,2024-03-11,512400.SH,有色金属ETF,有色,cyclical_value,120290.4153068854,1.003,120085.84942661451,120615.09116684021,529.2417402256979,0.004407194875605406,98,take_profit
2024-07-01,2024-04-22,512660.SH,军工ETF,军工,growth,405565.58796948195,0.879,361061.6593048267,356385.2041796271,-4676.455125199573,-0.012951957109495999,70,stop_loss_or_rebalance
2024-07-01,2024-05-06,512660.SH,军工ETF,军工,growth,18072.713797049946,0.879,16252.243914458968,15881.14965297862,-371.094261480348,-0.022833416938211244,56,stop_loss_or_rebalance
2024-07-29,2024-01-22,512800.SH,银行ETF,银行,stable_value,69548.53445168657,1.283,74091.4099478035,89204.00047060341,15112.590522799903,0.20397223555937913,189,take_profit
2024-07-29,2024-02-26,512800.SH,银行ETF,银行,stable_value,157670.84114649202,1.283,182795.32704025088,202231.00168419193,19435.67464394105,0.10632478936215575,154,take_profit
2024-07-29,2024-07-01,512800.SH,银行ETF,银行,stable_value,205007.19712298157,1.283,259001.76719331558,262945.32663861266,3943.5594452970836,0.015225994355295891,28,take_profit
2024-08-12,2024-07-01,159995.SZ,芯片ETF,芯片,growth,46029.35300433558,0.84,38998.55805327064,38653.05712668479,-345.5009265858462,-0.008859325673372442,42,stop_loss_or_rebalance
2024-10-21,2024-10-08,515790.SH,光伏ETF,光伏,growth,436628.67670926487,0.8,393957.2181116745,349198.1504850017,-44759.0676266728,-0.11361403109000788,13,stop_loss_or_rebalance
2024-11-04,2024-10-21,159819.SZ,人工智能ETF,人工智能,growth,398098.8773656463,0.864,357998.2580189416,343854.24281490524,-14144.015204036376,-0.03950861460138171,14,stop_loss_or_rebalance
2024-11-04,2024-10-21,515210.SH,钢铁ETF,钢铁,cyclical_value,63415.003526962144,1.253,75359.62529728803,79435.16171945778,4075.5364221697528,0.05408116622252392,14,take_profit
2024-11-18,2024-10-08,510880.SH,红利ETF,红利,stable_value,46454.666889786335,3.218,158179.1255986605,149446.27071591702,-8732.854882743472,-0.05520864304750856,41,stop_loss_or_rebalance
2024-12-02,2024-10-21,515210.SH,钢铁ETF,钢铁,cyclical_value,28634.062386279038,1.29,34027.47129473396,36926.85909615646,2899.3878014225047,0.08520726610299749,42,take_profit
2024-12-02,2024-11-18,515210.SH,钢铁ETF,钢铁,cyclical_value,27711.95442799882,1.29,34955.257966066616,35737.69668575484,782.4387196882235,0.022384006447550425,14,take_profit
2024-12-16,2024-11-04,515790.SH,光伏ETF,光伏,growth,202642.46681331433,0.789,179392.38470472212,159836.9408438103,-19555.443860911822,-0.1090093310989754,42,stop_loss_or_rebalance
2024-12-16,2024-11-18,515790.SH,光伏ETF,光伏,growth,87072.533108762,0.789,72553.17950562263,68679.61855422637,-3873.5609513962554,-0.053389265333245214,28,stop_loss_or_rebalance
2024-12-16,2024-12-02,515790.SH,光伏ETF,光伏,growth,48452.854822606125,0.789,41003.41251447876,38217.833664299724,-2785.5788501790375,-0.06793529317091397,14,stop_loss_or_rebalance
2024-12-30,2024-12-02,512400.SH,有色金属ETF,有色,cyclical_value,68687.91437248346,0.996,71525.5700974138,68392.63876617902,-3132.9313312347804,-0.04380155693925829,28,stop_loss_or_rebalance
2024-12-30,2024-12-16,515030.SH,新能源车ETF,新能源车,growth,229636.39100557353,1.222,281159.26507359924,280531.4851078682,-627.7799657310243,-0.002232826883960911,14,stop_loss_or_rebalance
2025-01-13,2024-10-08,510880.SH,红利ETF,红利,stable_value,34534.56532943514,3.124,117590.92707951163,107853.61629452863,-9737.310784982998,-0.08280665036681704,97,stop_loss_or_rebalance
2025-01-13,2024-11-04,510880.SH,红利ETF,红利,stable_value,42755.62989554402,3.124,136388.60804801097,133528.5172173414,-2860.0908306695637,-0.02097015925012422,70,stop_loss_or_rebalance
2025-03-24,2025-03-10,512400.SH,有色金属ETF,有色,cyclical_value,95623.30578980963,1.102,103304.1522040703,105345.26991547609,2041.1177114057937,0.019758331759731254,14,take_profit
2025-03-24,2025-02-24,515030.SH,新能源车ETF,新能源车,growth,177886.37835561708,1.305,237727.49834354938,232072.08123695405,-5655.417106595327,-0.023789494888060703,28,stop_loss_or_rebalance
2025-04-07,2025-02-24,515030.SH,新能源车ETF,新能源车,growth,78572.30308885893,1.125,105004.08870579355,88367.32282267381,-16636.765883119733,-0.1584392197310866,42,stop_loss_or_rebalance
2025-05-19,2025-03-10,159928.SZ,消费ETF,消费,stable_value,297706.0550845805,0.818,239427.47498848912,243450.49599326905,4023.0210047799337,0.01680267064159344,70,take_profit
2025-05-19,2025-03-24,159928.SZ,消费ETF,消费,stable_value,161864.52780664669,0.818,132444.90530096073,132365.4621907132,-79.44311024752096,-0.0005998200539839466,56,stop_loss_or_rebalance
2025-05-19,2025-04-07,159928.SZ,消费ETF,消费,stable_value,91254.34482987825,0.818,73025.37690666177,74623.66025461914,1598.2833479573746,0.021886683994801412,42,take_profit
2025-05-19,2025-05-06,159928.SZ,消费ETF,消费,stable_value,23048.52241601905,0.818,18882.402880677215,18848.03522890269,-34.367651774526166,-0.0018200888939667395,13,stop_loss_or_rebalance
2025-06-16,2025-05-19,510880.SH,红利ETF,红利,stable_value,7109.698318995029,3.131,22167.577939205596,22253.7872971424,86.20935793680474,0.0038889840907848933,28,take_profit
2025-06-30,2025-05-19,510880.SH,红利ETF,红利,stable_value,68147.28050630268,3.152,212478.7978601469,214735.78808741926,2256.9902272723557,0.010622190307937932,42,take_profit
2025-07-28,2025-06-30,512400.SH,有色金属ETF,有色,cyclical_value,88885.37909115199,1.282,101270.81891885756,113916.8706780584,12646.05175920084,0.12487360025530542,28,take_profit
2025-07-28,2025-06-30,515030.SH,新能源车ETF,新能源车,growth,97329.40283396345,1.354,122769.19668672001,131744.47623375535,8975.279547035345,0.07310693389921158,28,take_profit
2025-07-28,2025-07-14,515030.SH,新能源车ETF,新能源车,growth,170238.99952173434,1.354,214735.77981042606,230434.45427082258,15698.67446039652,0.07310693389921182,14,take_profit
2025-08-11,2025-07-28,512480.SH,半导体ETF,半导体,growth,25897.99285058071,1.084,28004.128990559195,28065.002222754483,60.87323219528844,0.002173723461129969,14,take_profit
2025-08-11,2025-07-28,512000.SH,券商ETF,证券,cyclical_value,91192.10459512117,0.581,108095.06273840215,52966.71798593446,-55128.34475246769,-0.5099987303387044,14,stop_loss_or_rebalance
2025-08-25,2025-07-28,512480.SH,半导体ETF,半导体,growth,307320.15067460766,1.33,332312.74680411466,408613.179657109,76300.43285299436,0.22960429170046395,28,take_profit
2025-09-08,2025-08-25,515030.SH,新能源车ETF,新能源车,growth,20951.87335619247,1.66,30158.79068328884,34769.675738348116,4610.885055059276,0.15288693447559865,14,take_profit
2025-09-22,2025-05-19,510880.SH,红利ETF,红利,stable_value,43081.99421763104,3.087,134326.86194914888,132954.2179149821,-1372.6440341667912,-0.010218686078488328,126,stop_loss_or_rebalance
2025-09-22,2025-06-03,510880.SH,红利ETF,红利,stable_value,31885.835333196424,3.087,99960.18699661786,98402.04420147529,-1558.1427951425721,-0.015587633856620252,111,stop_loss_or_rebalance
2025-09-22,2025-09-08,510880.SH,红利ETF,红利,stable_value,11985.614968826027,3.087,37981.81934970722,36988.49353074332,-993.3258189639018,-0.026152665563966955,14,stop_loss_or_rebalance
2025-10-09,2025-08-25,515220.SH,煤炭ETF,煤炭,cyclical_value,100441.60446829765,1.099,111423.1562771487,110352.20771366592,-1070.9485634827724,-0.009611543948898248,45,stop_loss_or_rebalance
2025-10-09,2025-08-25,515030.SH,新能源车ETF,新能源车,growth,18924.547110182328,1.949,27240.59301853984,36872.87713505003,9632.284116510193,0.35360038270659155,45,take_profit
2025-10-20,2025-08-25,515030.SH,新能源车ETF,新能源车,growth,34338.0877708144,1.751,49427.33205469259,60107.95388919001,10680.621834497419,0.21608736281130936,56,take_profit
2025-11-03,2025-10-20,515220.SH,煤炭ETF,煤炭,cyclical_value,66042.0816643047,1.212,80463.38724376325,80018.99007624415,-444.39716751909873,-0.005522973649776894,14,stop_loss_or_rebalance
2025-11-03,2025-08-25,515030.SH,新能源车ETF,新能源车,growth,183811.29522665628,1.865,264583.8051673077,342705.22317803465,78121.41801072692,0.29526152578132053,70,take_profit
2025-11-17,2025-11-03,159819.SZ,人工智能ETF,人工智能,growth,272065.4619697801,1.409,406315.59284129797,383225.23384464555,-23090.358996652416,-0.05682863124987486,14,stop_loss_or_rebalance
2025-11-17,2025-11-03,515210.SH,钢铁ETF,钢铁,cyclical_value,56119.57762352846,1.571,84765.98438019142,88137.40728962923,3371.4229094378097,0.039773299798140045,14,take_profit
2025-12-01,2025-09-22,159928.SZ,消费ETF,消费,stable_value,328055.8058077752,0.827,278602.9349445404,271220.76075760915,-7382.1741869312245,-0.02649711564740244,70,stop_loss_or_rebalance
2025-12-01,2025-10-09,159928.SZ,消费ETF,消费,stable_value,24568.578780510084,0.827,20742.101254897738,20312.119187086395,-429.98206781134286,-0.02072991846521881,53,stop_loss_or_rebalance
2025-12-01,2025-11-17,159928.SZ,消费ETF,消费,stable_value,177609.56594789817,0.827,148703.80446040028,146839.0461056001,-1864.7583548001712,-0.012540085047365113,14,stop_loss_or_rebalance
2025-12-15,2025-11-03,515210.SH,钢铁ETF,钢铁,cyclical_value,25684.302282514822,1.45,38794.93143553137,37231.065638153596,-1563.8657973777736,-0.040311085482302604,42,stop_loss_or_rebalance
2025-12-15,2025-12-01,515790.SH,光伏ETF,光伏,growth,208286.4229333932,0.955,199806.603597002,198853.85984122005,-952.7437557819358,-0.004768329667940121,14,stop_loss_or_rebalance
2025-12-15,2025-12-01,510880.SH,红利ETF,红利,stable_value,135421.47769025358,3.168,439574.5279134044,428886.5367503266,-10687.991163077822,-0.024314400595075752,14,stop_loss_or_rebalance
2025-12-29,2025-12-15,512400.SH,有色金属ETF,有色,cyclical_value,66962.36961789466,1.878,118023.0915753104,125717.60354336342,7694.511968053019,0.06519497045324524,14,take_profit
2026-01-12,2025-12-29,159819.SZ,人工智能ETF,人工智能,growth,12091.74079770624,1.704,18445.436687916965,20598.145021395645,2152.7083334786803,0.11670682401836835,14,take_profit
2026-01-26,2025-12-29,159819.SZ,人工智能ETF,人工智能,growth,246875.18414964006,1.654,376597.6012249495,408209.0551171296,31611.453892180056,0.08393960500374478,28,take_profit
2026-02-09,2025-12-15,561560.SH,电力ETF,电力,stable_value,220243.69783123,1.253,275387.2136757242,275882.5637765164,495.35010079218773,0.001798740377886519,56,take_profit
2026-02-09,2026-01-12,561560.SH,电力ETF,电力,stable_value,14578.657445419623,1.253,18287.120927487176,18261.577661777053,-25.543265710122796,-0.0013967898944512904,28,stop_loss_or_rebalance
2026-03-16,2026-03-02,512480.SH,半导体ETF,半导体,growth,250242.00790252327,1.577,414274.7682355996,394513.2569683404,-19761.511267259193,-0.047701459954763034,14,stop_loss_or_rebalance
