trade_date,equity,cash,holding_value
2021-10-14,880335.8791394588,219746.39881640623,660589.4803230525
2021-10-15,884785.2541395314,219746.39881640623,665038.8553231251
2021-10-18,894690.1218620103,139765.33892936583,754924.7829326445
2021-10-19,896597.0761023627,139765.33892936583,756831.7371729969
2021-10-20,890769.165496827,139765.33892936583,751003.8265674611
2021-10-21,890876.2133813056,139765.33892936583,751110.8744519397
2021-10-22,877612.9231604185,139765.33892936583,737847.5842310527
2021-10-25,888724.1273393333,139765.33892936583,748958.7884099674
2021-10-26,882219.7369345815,139765.33892936583,742454.3980052157
2021-10-27,877461.7289434642,139765.33892936583,737696.3900140984
2021-10-28,861221.5818678063,139765.33892936583,721456.2429384404
2021-10-29,870013.2390282999,139765.33892936583,730247.9000989341
2021-11-01,868521.3413426433,260458.05983485142,608063.2815077918
2021-11-02,851104.1959582584,260458.05983485142,590646.1361234069
2021-11-03,851104.1959582584,260458.05983485142,590646.1361234069
2021-11-04,848542.8510487899,260458.05983485142,588084.7912139385
2021-11-05,845469.2371574278,260458.05983485142,585011.1773225764
2021-11-08,843932.4302117468,260458.05983485142,583474.3703768954
2021-11-09,844444.6991936405,260458.05983485142,583986.6393587891
2021-11-10,842395.6232660657,260458.05983485142,581937.5634312143
2021-11-11,855714.6167953013,260458.05983485142,595256.5569604499
2021-11-12,854690.078831514,260458.05983485142,594232.0189966626
2021-11-15,857391.5621011961,214261.7893899019,643129.7727112942
2021-11-16,866034.1378179905,214261.7893899019,651772.3484280886
2021-11-17,862446.2934774645,214261.7893899019,648184.5040875626
2021-11-18,860356.8541476255,214261.7893899019,646095.0647577236
2021-11-19,865083.4226820125,214261.7893899019,650821.6332921106
2021-11-22,866115.7664815406,214261.7893899019,651853.9770916387
2021-11-23,863908.1202878713,214261.7893899019,649646.3308979694
2021-11-24,869416.5370099073,214261.7893899019,655154.7476200054
2021-11-25,867225.777511071,214261.7893899019,652963.988121169
2021-11-26,862728.3070642888,214261.7893899019,648466.5176743869
2021-11-29,867080.0787076801,289011.7384264099,578068.3402812702
2021-11-30,857787.94802634,289011.7384264099,568776.2095999301
2021-12-01,856809.8290072515,289011.7384264099,567798.0905808416
2021-12-02,859255.1265549725,289011.7384264099,570243.3881285626
2021-12-03,875883.149879476,289011.7384264099,586871.4114530662
2021-12-06,870992.5547840339,289011.7384264099,581980.816357624
2021-12-07,873437.8523317551,289011.7384264099,584426.1139053452
2021-12-08,887620.5781085375,289011.7384264099,598608.8396821276
2021-12-09,895934.5897707893,289011.7384264099,606922.8513443794
2021-12-10,894956.4707517008,289011.7384264099,605944.7323252909
2021-12-13,895759.9085368405,293257.7672121822,602502.1413246582
2021-12-14,898238.1349282924,293257.7672121822,604980.3677161101
2021-12-15,890756.4995183677,293257.7672121822,597498.7323061854
2021-12-16,889797.6135674063,293257.7672121822,596539.846355224
2021-12-17,878671.5138068947,293257.7672121822,585413.7465947124
2021-12-20,873405.6602672217,293257.7672121822,580147.8930550395
2021-12-21,874873.1627056685,293257.7672121822,581615.3954934863
2021-12-22,876692.1403699792,293257.7672121822,583434.3731577969
2021-12-23,883567.9923102972,293257.7672121822,590310.225098115
2021-12-24,888368.9310870706,293257.7672121822,595111.1638748884
2021-12-27,886435.6702799804,221578.95595973736,664856.714320243
2021-12-28,886724.151365744,221578.95595973736,665145.1954060066
2021-12-29,866347.3776436616,221578.95595973736,644768.4216839243
2021-12-30,873326.5096411475,221578.95595973736,651747.5536814102
2021-12-31,871793.1817013482,221578.95595973736,650214.2257416109
2022-01-04,877849.9561176265,221578.95595973736,656271.0001578891
2022-01-05,875478.0005235693,221578.95595973736,653899.0445638319
2022-01-06,862954.9493733849,221578.95595973736,641375.9934136476
2022-01-07,854403.2433980952,221578.95595973736,632824.2874383578
2022-01-10,856605.7097254688,214056.70917133358,642549.0005541352
2022-01-11,863319.7553405991,214056.70917133358,649263.0461692655
2022-01-12,861529.1587453455,214056.70917133358,647472.449574012
2022-01-13,861485.413965643,214056.70917133358,647428.7047943095
2022-01-14,847096.4072682018,214056.70917133358,633039.6980968682
2022-01-17,847089.5775496316,214056.70917133358,633032.868378298
2022-01-18,859998.2643600255,214056.70917133358,645941.555188692
2022-01-19,863326.5850591692,214056.70917133358,649269.8758878356
2022-01-20,874350.3559963343,214056.70917133358,660293.6468250008
2022-01-21,871433.461001942,214056.70917133358,657376.7518306085
2022-01-24,870938.8712737062,212826.63733435652,658112.2339393497
2022-01-25,860081.0312369397,212826.63733435652,647254.3939025832
2022-01-26,859866.3607878049,212826.63733435652,647039.7234534484
2022-01-27,855073.5489869454,212826.63733435652,642246.9116525889
2022-01-28,848238.3415107798,212826.63733435652,635411.7041764233
2022-02-07,864766.8998451298,212826.63733435652,651940.2625107733
2022-02-08,874548.7532595948,212826.63733435652,661722.1159252382
2022-02-09,872331.9868483538,212826.63733435652,659505.3495139972
2022-02-10,879336.2963072003,212826.63733435652,666509.6589728438
2022-02-11,881939.4695268841,212826.63733435652,669112.8321925276
2022-02-14,867763.0020566818,477233.94543287216,390529.0566238096
2022-02-15,863535.7932839012,477233.94543287216,386301.84785102896
2022-02-16,867112.6622454848,477233.94543287216,389878.7168126126
2022-02-17,868088.1719622803,477233.94543287216,390854.2265294081
2022-02-18,872315.3807350609,477233.94543287216,395081.43530218874
2022-02-21,871014.7011126669,477233.94543287216,393780.7556797947
