trade_date,etf_code,etf_name,theme,style,side,price,shares,value,fee
2022-07-18,515030.SH,新能源车ETF,新能源车,growth,SELL,2.354,54432.50603761222,128134.11921253917,38.44023576376175
2022-07-18,159928.SZ,消费ETF,消费,stable_value,BUY,1.101,434986.5271163201,478920.1663550684,143.6760499065205
2022-08-15,515030.SH,新能源车ETF,新能源车,growth,SELL,2.26,129552.65755850746,292789.0060822268,87.83670182466804
2022-08-15,512400.SH,有色金属ETF,有色,cyclical_value,SELL,1.314,68642.45543306513,90196.18643904758,27.058855931714273
2022-08-15,515790.SH,光伏ETF,光伏,growth,BUY,1.796,164864.81327251118,296097.2046374301,88.82916139122902
2022-08-29,515220.SH,煤炭ETF,煤炭,cyclical_value,BUY,2.769,30304.16001182543,83912.21907274461,25.173665721823383
2022-08-29,515790.SH,光伏ETF,光伏,growth,SELL,1.745,116763.1512135814,203751.69886769954,61.12550966030986
2022-08-29,159928.SZ,消费ETF,消费,stable_value,BUY,1.069,114615.93657727986,122524.43620111217,36.757330860333646
2022-09-13,159928.SZ,消费ETF,消费,stable_value,SELL,1.05,549602.4636935999,577082.5868782799,173.12477606348395
2022-09-13,515790.SH,光伏ETF,光伏,growth,SELL,1.668,48101.66205892978,80233.57231429487,24.07007169428846
2022-09-13,515220.SH,煤炭ETF,煤炭,cyclical_value,SELL,2.722,30304.16001182543,82487.92355218882,24.74637706565664
2022-09-13,510880.SH,红利ETF,红利,stable_value,BUY,3.085,120111.8224959447,370544.9723999894,111.1634917199968
2022-10-31,510880.SH,红利ETF,红利,stable_value,SELL,2.747,120111.8224959447,329947.17639636004,98.98415291890801
2022-11-28,512010.SH,医药ETF,医药,growth,BUY,0.457,85603.4678438016,39120.78480461733,11.736235441385197
2022-11-28,512800.SH,银行ETF,银行,stable_value,BUY,1.028,532773.333915022,547690.9872646426,164.30729617939278
2022-12-12,512200.SH,地产ETF,地产,cyclical_value,BUY,0.767,104943.08866222094,80491.34900392346,24.147404701177035
2022-12-12,512010.SH,医药ETF,医药,growth,BUY,0.473,243367.0931848714,115112.63507644416,34.533790522933245
