ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,volume,amount,ma20,ma60,ma120,ret_20,ret_60,ret_120,daily_ret,vol_20,max_drawdown_60,premium_20,avg_amount_20,avg_volume_20,trend_pass,etf_code,etf_name,theme,technical_score,fundamental_score,valuation_percentile,valuation_filter_pass,liquidity_pass,trend_filter_pass,final_score,market_filter_pass,market_exposure,intraday_filter_pass,selected,target_weight,signal_date,execution_date
515790.SH,2021-06-18,1.155,1.157,1.188,1.154,1.181,0.026,2.2511,4227868.56,496266392.0,1.13785,1.08455,,0.06492335437330943,0.16354679802955685,,0.022510822510822592,0.32486255487010346,-0.006728343145500415,0.037922397504064786,499467978.45,4368326.4225,True,515790.SH,光伏ETF,光伏,0.05266427302553813,0.5,,True,True,True,0.1868649911178767,True,1.0,True,False,0.0,2021-06-18,2021-06-21
512010.SH,2021-06-18,3.136,3.136,3.189,3.129,3.165,0.029,0.9247,376880.92,119210096.0,3.2490499999999995,3.0757166666666667,,-0.02914110429447847,0.15637559371574716,,0.009247448979591733,0.25150994350264494,-0.056912991656734135,-0.0258691001985194,152160253.75,468010.5405,True,512010.SH,医药ETF,医药,0.020870324239305932,0.5,,True,True,True,0.16460922696751415,True,1.0,True,False,0.0,2021-06-18,2021-06-21
510880.SH,2021-06-18,2.824,2.824,2.828,2.818,2.824,0.0,0.0,552027.0,155773135.0,2.82205,2.7906666666666666,,0.025045372050816583,0.03671071953010263,,0.0,0.06756693733728322,-0.016027874564459976,0.0006909870484221869,219847848.6,779165.1249999999,True,510880.SH,红利ETF,红利,-0.01506156200993957,0.55,,True,True,True,0.15445690659304231,True,1.0,True,False,0.0,2021-06-18,2021-06-21
512660.SH,2021-06-18,1.111,1.111,1.145,1.108,1.134,0.023,2.0702,7567390.9,854715679.0,1.1093499999999998,1.0605333333333333,,0.06179775280898858,0.09038461538461529,,0.02070207020702064,0.27949517385590394,-0.013054830287206332,0.02222021904718985,662892190.75,5964121.768,True,512660.SH,军工ETF,军工,-0.04214462495043164,0.5,,True,True,True,0.12049876253469785,True,1.0,True,False,0.0,2021-06-18,2021-06-21
512000.SH,2021-06-18,1.029,1.028,1.044,1.024,1.039,0.01,0.9718,6958108.2,720445493.0,1.05835,1.0147666666666666,,0.0058083252662148865,0.05375253549695724,,0.009718172983479212,0.235420422250673,-0.050274223034735055,-0.018283176642887478,957497471.15,9011349.934999999,True,512000.SH,券商ETF,证券,-0.12257780759049183,0.5,,True,True,True,0.06419553468665572,True,1.0,True,False,0.0,2021-06-18,2021-06-21
159928.SZ,2021-06-18,5.09,5.094,5.097,4.988,5.032,-0.058,-1.1395,250313.0,126062776.0,5.25775,5.06755,,-0.039144548405575685,0.06497354497354513,,-0.011394891944990104,0.1967029446741097,-0.06555246053853292,-0.04293661737435206,97793345.6,186166.1255,False,159928.SZ,消费ETF,消费,-0.12264653447541522,0.5,,True,True,False,0.06414742586720934,True,1.0,True,False,0.0,2021-06-18,2021-06-21
515210.SH,2021-06-18,1.509,1.506,1.51,1.479,1.505,-0.004,-0.2651,546868.0,81916070.0,1.55315,1.55815,,-0.022727272727272818,0.01074546675621213,,-0.002650762094102088,0.2438929472737946,-0.1554433221099889,-0.031001513054115915,130418701.05,839306.2550000001,False,515210.SH,钢铁ETF,钢铁,-0.16183707551448823,0.5,,True,True,False,0.03671404713985825,True,1.0,True,False,0.0,2021-06-18,2021-06-21
512400.SH,2021-06-18,1.076,1.061,1.1,1.051,1.1,0.024,2.2305,2522219.81,271857071.0,1.1489,1.09975,,-0.027409372236958385,0.032863849765258246,,0.02230483271375472,0.27873060862480137,-0.09613804437140505,-0.04256245104012524,322938573.35,2809224.2095,True,512400.SH,有色金属ETF,有色,-0.20919614433028724,0.5,,True,True,True,0.003562698968798933,True,1.0,True,False,0.0,2021-06-18,2021-06-21
512800.SH,2021-06-18,1.238,1.233,1.239,1.222,1.227,-0.011,-0.8885,2171671.15,266545895.00000003,1.26615,1.2488166666666667,,-0.024642289348171587,-0.010483870967741837,,-0.008885298869143687,0.16945614744948864,-0.05469953775038516,-0.030920507048927903,294565854.75,2324327.473,False,512800.SH,银行ETF,银行,-0.2677181098286979,0.55,,True,True,False,-0.02240267688008854,True,1.0,True,False,0.0,2021-06-18,2021-06-21
512200.SH,2021-06-18,0.81,0.81,0.811,0.802,0.81,0.0,0.0,484744.44,39092367.0,0.8362999999999999,0.8375166666666666,,-0.02877697841726612,-0.041420118343195145,,0.0,0.11948292243564053,-0.05484247374562423,-0.03144804495994247,52404161.8,624894.7305,False,512200.SH,地产ETF,地产,-0.30100408439710147,0.45,,True,True,False,-0.075702859077971,True,1.0,True,False,0.0,2021-06-18,2021-06-21
512480.SH,2021-06-18,1.186,1.191,1.207,1.165,1.199,0.013,1.0961,4689302.71,558963996.0,1.08545,1.0689333333333333,,0.217258883248731,-0.319136854060193,,0.010961214165261524,0.39915326492489356,-0.31990924560408385,0.10461099083329506,406640042.05,3713702.8525,True,512480.SH,半导体ETF,半导体,-0.4478013401778048,0.5,,True,True,True,-0.16346093812446336,True,1.0,True,False,0.0,2021-06-18,2021-06-21
515030.SH,2021-06-25,1.976,1.985,2.011,1.959,2.004,0.028,1.417,1730909.18,344509059.0,1.8986500000000004,1.6830666666666667,,0.1583815028901734,0.3577235772357723,,0.014170040485830038,0.43396943479955224,0.0,0.05548679324783379,434047483.05,2301347.0145,True,515030.SH,新能源车ETF,新能源车,0.4764160311218074,0.5,,True,True,True,0.48349122178526516,True,1.0,True,True,1.0,2021-06-25,2021-06-28
159995.SZ,2021-06-25,1.477,1.48,1.5,1.457,1.499,0.022,1.4895,5440157.04,807715291.0,1.3622999999999998,1.2448666666666666,,0.17753338570306387,0.3492349234923493,,0.014895057549086044,0.3994448019402268,-0.0006666666666665932,0.10034500477134278,934363473.25,6833504.331,True,159995.SZ,芯片ETF,芯片,0.4707119964289361,0.5,,True,True,True,0.47949839750025525,True,1.0,True,False,0.0,2021-06-25,2021-06-28
515220.SH,2021-06-25,1.692,1.71,1.755,1.705,1.753,0.061,3.6052,728165.0,126067980.0,1.6383500000000002,1.5288333333333333,,0.1346278317152103,0.3280303030303029,,0.03605200945626463,0.3179378061351116,0.0,0.06997894222846135,134818142.15,825365.5845,True,515220.SH,煤炭ETF,煤炭,0.4240596215493905,0.5,,True,True,True,0.44684173508457325,True,1.0,True,False,0.0,2021-06-25,2021-06-28
515790.SH,2021-06-25,1.276,1.276,1.304,1.274,1.281,0.005,0.3918,4050782.32,521696196.0,1.17085,1.1034833333333334,,0.14784946236559127,0.24007744433688294,,0.003918495297805524,0.3447877819316076,0.0,0.0940769526412435,566912344.85,4834271.4935,True,515790.SH,光伏ETF,光伏,0.31008830548174815,0.5,,True,True,True,0.3670618138372237,True,1.0,True,False,0.0,2021-06-25,2021-06-28
515210.SH,2021-06-25,1.545,1.545,1.585,1.541,1.583,0.038,2.4595,801236.0,125211249.0,1.55055,1.5684,,0.011501597444089517,0.11714890613973172,,0.02459546925566336,0.25946079611920636,-0.111672278338945,0.020928057785946752,123616605.15,796646.025,False,515210.SH,钢铁ETF,钢铁,0.11030463719930851,0.5,,True,True,False,0.22721324603951595,True,1.0,True,False,0.0,2021-06-25,2021-06-28
512660.SH,2021-06-25,1.152,1.148,1.157,1.135,1.156,0.004,0.3472,7849513.7,900503218.0,1.1315,1.0713,,0.05090909090909079,0.10727969348658983,,0.003472222222222321,0.28619562856887815,-0.02033898305084747,0.021652673442333237,737099069.15,6500647.1655,True,512660.SH,军工ETF,军工,0.08903912229118892,0.5,,True,True,True,0.21232738560383224,True,1.0,True,False,0.0,2021-06-25,2021-06-28
159819.SZ,2021-06-25,0.98,0.977,0.984,0.971,0.979,-0.001,-0.102,430855.79,42057671.0,0.9625499999999999,0.9191,,0.040382571732199724,0.10372040586245768,,-0.0010204081632653184,0.2101620825833148,-0.01805416248746239,0.01709002129759507,63331185.25,655491.4859999999,True,159819.SZ,人工智能ETF,人工智能,0.08624232714828466,0.5,,True,True,True,0.21036962900379924,True,1.0,True,False,0.0,2021-06-25,2021-06-28
512400.SH,2021-06-25,1.109,1.111,1.144,1.108,1.139,0.03,2.7051,2128683.1,240123581.0,1.1411,1.1074833333333334,,-0.010425716768027837,0.1123046875,,0.02705139765554554,0.2999397710352612,-0.06409202958093674,-0.0018403295066163894,281070224.95,2453291.1595,True,512400.SH,有色金属ETF,有色,0.059939291316543665,0.5,,True,True,True,0.19195750392158056,True,1.0,True,False,0.0,2021-06-25,2021-06-28
510880.SH,2021-06-25,2.885,2.886,2.903,2.878,2.895,0.01,0.3466,706785.01,204518998.0,2.841,2.8030666666666666,,0.028053977272727293,0.06629834254143652,,0.0034662045060658286,0.07805558833657093,0.0,0.019007391763463444,223319608.75,785564.4,True,510880.SH,红利ETF,红利,0.03592057919894964,0.55,,True,True,True,0.19014440543926475,True,1.0,True,False,0.0,2021-06-25,2021-06-28
512000.SH,2021-06-25,1.042,1.046,1.086,1.041,1.075,0.033,3.167,15754470.02,1682642272.0,1.0558999999999998,1.0178666666666667,,-0.0018570102135562205,0.06330365974282892,,0.03166986564299412,0.19178438548071317,-0.017367458866544894,0.01808883416990259,837120913.1,7896378.891499999,True,512000.SH,券商ETF,证券,-0.009693286655758419,0.5,,True,True,True,0.14321469934096911,True,1.0,True,False,0.0,2021-06-25,2021-06-28
512800.SH,2021-06-25,1.231,1.231,1.25,1.23,1.247,0.016,1.2998,2497327.96,310156186.0,1.25525,1.2473666666666667,,-0.03482972136222906,0.0032180209171359664,,0.012997562956945652,0.12481170376217149,-0.03929121725731888,-0.006572395937064268,282927830.6,2251630.796,False,512800.SH,银行ETF,银行,-0.0885740619443673,0.55,,True,True,False,0.1029981566389429,True,1.0,True,False,0.0,2021-06-25,2021-06-28
512200.SH,2021-06-25,0.805,0.806,0.811,0.804,0.81,0.005,0.6211,518740.0,41915872.0,0.8272,0.8347833333333333,,-0.05373831775700921,-0.02877697841726612,,0.006211180124223503,0.10079315452004388,-0.05484247374562423,-0.020793036750483496,49969155.75,601836.2805,False,512200.SH,地产ETF,地产,-0.13140599617803525,0.45,,True,True,False,0.043015802675375345,True,1.0,True,False,0.0,2021-06-25,2021-06-28
512480.SH,2021-06-25,1.235,1.233,1.255,1.216,1.252,0.017,1.3765,3827565.56,474541365.0,1.1393,1.0256666666666667,,0.1822474032105761,-0.27797001153402534,,0.013765182186234792,0.4060662846599304,-0.003977724741447752,0.09892038971298178,444900659.25,3889664.279,True,512480.SH,半导体ETF,半导体,-0.32461248097977535,0.5,,True,True,True,-0.07722873668584274,True,1.0,True,False,0.0,2021-06-25,2021-06-28
159928.SZ,2021-06-25,1.235,1.233,1.262,1.229,1.261,0.026,2.1053,1423410.0,178112219.0,4.98665,5.023433333333333,,-0.7658310120705664,-0.7383274538285951,,-0.7447368421052631,2.6321925630062455,-0.7658310120705664,-0.7471248232781527,107422062.65,261964.16399999996,False,159928.SZ,消费ETF,消费,-1.5084360859782213,0.5,,True,True,False,-0.9059052601847549,True,1.0,True,False,0.0,2021-06-25,2021-06-28
515030.SH,2021-07-02,2.091,2.067,2.117,2.043,2.084,-0.007,-0.3348,2328242.66,484843915.0,1.9549499999999997,1.73385,1.680075,0.12466270912034538,0.3884077281812126,,-0.0033476805356289496,0.39806105527856334,-0.01605288007554284,0.06601191846338805,421192647.25,2169542.789,True,515030.SH,新能源车ETF,新能源车,0.49830456623726466,0.5,,True,True,True,0.49881319636608523,False,0.0,True,False,0.0,2021-07-02,2021-07-05
