trade_date,etf_code,shares,close,weight
2022-05-10,CASH,0.0,1.0,1.0
2022-05-11,CASH,0.0,1.0,1.0
2022-05-12,CASH,0.0,1.0,1.0
2022-05-13,CASH,0.0,1.0,1.0
2022-05-16,CASH,0.0,1.0,1.0
2022-05-17,CASH,0.0,1.0,1.0
2022-05-18,CASH,0.0,1.0,1.0
2022-05-19,CASH,0.0,1.0,1.0
2022-05-20,CASH,0.0,1.0,1.0
2022-05-23,CASH,0.0,1.0,1.0
2022-05-24,CASH,0.0,1.0,1.0
2022-05-25,CASH,0.0,1.0,1.0
2022-05-26,CASH,0.0,1.0,1.0
2022-05-27,CASH,0.0,1.0,1.0
2022-05-30,CASH,0.0,1.0,1.0
2022-05-31,CASH,0.0,1.0,1.0
2022-06-01,CASH,0.0,1.0,1.0
2022-06-02,CASH,0.0,1.0,1.0
2022-06-06,CASH,0.0,1.0,1.0
2022-06-07,CASH,0.0,1.0,1.0
2022-06-08,CASH,0.0,1.0,1.0
2022-06-09,CASH,0.0,1.0,1.0
2022-06-10,CASH,0.0,1.0,1.0
2022-06-13,CASH,0.0,1.0,1.0
2022-06-14,CASH,0.0,1.0,1.0
2022-06-15,CASH,0.0,1.0,1.0
2022-06-16,CASH,0.0,1.0,1.0
2022-06-17,CASH,0.0,1.0,1.0
2022-06-20,CASH,0.0,1.0,1.0
2022-06-21,CASH,0.0,1.0,1.0
2022-06-22,CASH,0.0,1.0,1.0
2022-06-23,CASH,0.0,1.0,1.0
2022-06-24,CASH,0.0,1.0,1.0
2022-06-27,515030.SH,420786.40937130316,2.411,0.999999909973
2022-06-28,515030.SH,420786.40937130316,2.441,0.9999999110794359
2022-06-29,515030.SH,420786.40937130316,2.322,0.999999906522353
2022-06-30,515030.SH,420786.40937130316,2.357,0.9999999079104385
2022-07-01,515030.SH,420786.40937130316,2.369,0.9999999083769116
2022-07-04,515030.SH,420786.40937130316,2.425,0.9999999104927435
2022-07-05,515030.SH,420786.40937130316,2.434,0.9999999108237071
2022-07-06,515030.SH,420786.40937130316,2.418,0.9999999102336241
2022-07-07,515030.SH,420786.40937130316,2.481,0.9999999125130603
2022-07-08,515030.SH,420786.40937130316,2.42,0.9999999103078112
2022-07-11,515030.SH,420786.40937130316,2.315,0.9999999062396994
2022-07-12,515030.SH,420786.40937130316,2.254,0.9999999037022647
2022-07-13,515030.SH,420786.40937130316,2.298,0.9999999055460853
2022-07-14,515030.SH,420786.40937130316,2.368,0.9999999083382194
2022-07-15,515030.SH,420786.40937130316,2.345,0.9999999074391913
2022-07-18,CASH,0.0,1.0,1.0
2022-07-19,CASH,0.0,1.0,1.0
2022-07-20,CASH,0.0,1.0,1.0
2022-07-21,CASH,0.0,1.0,1.0
2022-07-22,CASH,0.0,1.0,1.0
2022-07-25,CASH,0.0,1.0,1.0
2022-07-26,CASH,0.0,1.0,1.0
2022-07-27,CASH,0.0,1.0,1.0
2022-07-28,CASH,0.0,1.0,1.0
2022-07-29,CASH,0.0,1.0,1.0
2022-08-01,CASH,0.0,1.0,1.0
2022-08-02,CASH,0.0,1.0,1.0
2022-08-03,CASH,0.0,1.0,1.0
2022-08-04,CASH,0.0,1.0,1.0
2022-08-05,CASH,0.0,1.0,1.0
2022-08-08,CASH,0.0,1.0,1.0
2022-08-09,CASH,0.0,1.0,1.0
2022-08-10,CASH,0.0,1.0,1.0
2022-08-11,CASH,0.0,1.0,1.0
2022-08-12,CASH,0.0,1.0,1.0
2022-08-15,CASH,0.0,1.0,1.0
2022-08-16,CASH,0.0,1.0,1.0
2022-08-17,CASH,0.0,1.0,1.0
2022-08-18,CASH,0.0,1.0,1.0
2022-08-19,CASH,0.0,1.0,1.0
2022-08-22,CASH,0.0,1.0,1.0
2022-08-23,CASH,0.0,1.0,1.0
2022-08-24,CASH,0.0,1.0,1.0
2022-08-25,CASH,0.0,1.0,1.0
2022-08-26,CASH,0.0,1.0,1.0
2022-08-29,CASH,0.0,1.0,1.0
2022-08-30,CASH,0.0,1.0,1.0
2022-08-31,CASH,0.0,1.0,1.0
2022-09-01,CASH,0.0,1.0,1.0
2022-09-02,CASH,0.0,1.0,1.0
2022-09-05,CASH,0.0,1.0,1.0
2022-09-06,CASH,0.0,1.0,1.0
2022-09-07,CASH,0.0,1.0,1.0
2022-09-08,CASH,0.0,1.0,1.0
2022-09-09,CASH,0.0,1.0,1.0
2022-09-13,CASH,0.0,1.0,1.0
2022-09-14,CASH,0.0,1.0,1.0
2022-09-15,CASH,0.0,1.0,1.0
2022-09-16,CASH,0.0,1.0,1.0
2022-09-19,CASH,0.0,1.0,1.0
2022-09-20,CASH,0.0,1.0,1.0
2022-09-21,CASH,0.0,1.0,1.0
2022-09-22,CASH,0.0,1.0,1.0
2022-09-23,CASH,0.0,1.0,1.0
2022-09-26,CASH,0.0,1.0,1.0
2022-09-27,CASH,0.0,1.0,1.0
2022-09-28,CASH,0.0,1.0,1.0
2022-09-29,CASH,0.0,1.0,1.0
2022-09-30,CASH,0.0,1.0,1.0
2022-10-10,CASH,0.0,1.0,1.0
2022-10-11,CASH,0.0,1.0,1.0
2022-10-12,CASH,0.0,1.0,1.0
2022-10-13,CASH,0.0,1.0,1.0
2022-10-14,CASH,0.0,1.0,1.0
2022-10-17,CASH,0.0,1.0,1.0
2022-10-18,CASH,0.0,1.0,1.0
2022-10-19,CASH,0.0,1.0,1.0
2022-10-20,CASH,0.0,1.0,1.0
2022-10-21,CASH,0.0,1.0,1.0
2022-10-24,CASH,0.0,1.0,1.0
2022-10-25,CASH,0.0,1.0,1.0
2022-10-26,CASH,0.0,1.0,1.0
2022-10-27,CASH,0.0,1.0,1.0
2022-10-28,CASH,0.0,1.0,1.0
2022-10-31,CASH,0.0,1.0,1.0
2022-11-01,CASH,0.0,1.0,1.0
2022-11-02,CASH,0.0,1.0,1.0
2022-11-03,CASH,0.0,1.0,1.0
2022-11-04,CASH,0.0,1.0,1.0
2022-11-07,CASH,0.0,1.0,1.0
2022-11-08,CASH,0.0,1.0,1.0
2022-11-09,CASH,0.0,1.0,1.0
2022-11-10,CASH,0.0,1.0,1.0
2022-11-11,CASH,0.0,1.0,1.0
2022-11-14,CASH,0.0,1.0,1.0
2022-11-15,CASH,0.0,1.0,1.0
2022-11-16,CASH,0.0,1.0,1.0
2022-11-17,CASH,0.0,1.0,1.0
2022-11-18,CASH,0.0,1.0,1.0
2022-11-21,CASH,0.0,1.0,1.0
2022-11-22,CASH,0.0,1.0,1.0
2022-11-23,CASH,0.0,1.0,1.0
2022-11-24,CASH,0.0,1.0,1.0
2022-11-25,CASH,0.0,1.0,1.0
2022-11-28,CASH,0.0,1.0,1.0
2022-11-29,CASH,0.0,1.0,1.0
2022-11-30,CASH,0.0,1.0,1.0
2022-12-01,CASH,0.0,1.0,1.0
2022-12-02,CASH,0.0,1.0,1.0
2022-12-05,CASH,0.0,1.0,1.0
2022-12-06,CASH,0.0,1.0,1.0
2022-12-07,CASH,0.0,1.0,1.0
2022-12-08,CASH,0.0,1.0,1.0
2022-12-09,CASH,0.0,1.0,1.0
2022-12-12,CASH,0.0,1.0,1.0
2022-12-13,CASH,0.0,1.0,1.0
2022-12-14,CASH,0.0,1.0,1.0
2022-12-15,CASH,0.0,1.0,1.0
2022-12-16,CASH,0.0,1.0,1.0
2022-12-19,CASH,0.0,1.0,1.0
2022-12-20,CASH,0.0,1.0,1.0
2022-12-21,CASH,0.0,1.0,1.0
2022-12-22,CASH,0.0,1.0,1.0
2022-12-23,CASH,0.0,1.0,1.0
2022-12-26,CASH,0.0,1.0,1.0
2022-12-27,CASH,0.0,1.0,1.0
2022-12-28,CASH,0.0,1.0,1.0
2022-12-29,CASH,0.0,1.0,1.0
2022-12-30,CASH,0.0,1.0,1.0
2023-01-03,CASH,0.0,1.0,1.0
2023-01-04,CASH,0.0,1.0,1.0
2023-01-05,CASH,0.0,1.0,1.0
2023-01-06,CASH,0.0,1.0,1.0
2023-01-09,512800.SH,898309.5003536327,1.102,0.999999909973
2023-01-10,512800.SH,898309.5003536327,1.09,0.9999999089818772
2023-01-11,512800.SH,898309.5003536327,1.098,0.9999999096450328
2023-01-12,512800.SH,898309.5003536327,1.1,0.9999999098093145
2023-01-13,512800.SH,898309.5003536327,1.111,0.9999999107022916
2023-01-16,512800.SH,898309.5003536327,1.113,0.9999999108627546
2023-01-17,512800.SH,898309.5003536327,1.112,0.9999999107825953
2023-01-18,512800.SH,898309.5003536327,1.113,0.9999999108627546
2023-01-19,512800.SH,898309.5003536327,1.114,0.9999999109427701
2023-01-20,512800.SH,898309.5003536327,1.115,0.9999999110226421
2023-01-30,512000.SH,1090776.7485996347,0.921,0.999999909973
2023-01-31,512000.SH,1090776.7485996347,0.918,0.9999999096787942
2023-02-01,512000.SH,1090776.7485996347,0.939,0.999999911698757
2023-02-02,512000.SH,1090776.7485996347,0.921,0.999999909973
2023-02-03,512000.SH,1090776.7485996347,0.914,0.9999999092835153
2023-02-06,512000.SH,1090776.7485996347,0.896,0.9999999074610861
2023-02-07,512000.SH,1090776.7485996347,0.9,0.9999999078723701
2023-02-08,512000.SH,1090776.7485996347,0.891,0.9999999069417882
2023-02-09,512000.SH,1090776.7485996347,0.906,0.9999999084824869
2023-02-10,512000.SH,1090776.7485996347,0.898,0.9999999076671862
2023-02-13,159819.SZ,1215284.6916110986,0.81,0.9999999099729999
2023-02-14,159819.SZ,1215284.6916110986,0.805,0.9999999094138261
2023-02-15,159819.SZ,1215284.6916110986,0.826,0.9999999117168642
2023-02-16,159819.SZ,1215284.6916110986,0.811,0.9999999100840073
2023-02-17,159819.SZ,1215284.6916110986,0.78,0.9999999065104234
2023-02-20,159819.SZ,1215284.6916110986,0.807,0.9999999096383271
2023-02-21,159819.SZ,1215284.6916110986,0.803,0.9999999091882067
2023-02-22,159819.SZ,1215284.6916110986,0.807,0.9999999096383271
2023-02-23,159819.SZ,1215284.6916110986,0.795,0.9999999082743775
2023-02-24,159819.SZ,1215284.6916110986,0.8,0.9999999088476625
2023-02-27,159819.SZ,1215284.6916110986,0.787,0.9999999073419696
2023-02-28,159819.SZ,1215284.6916110986,0.803,0.9999999091882067
2023-03-01,159819.SZ,1215284.6916110986,0.834,0.9999999125637048
2023-03-02,159819.SZ,1215284.6916110986,0.835,0.9999999126684188
2023-03-03,159819.SZ,1215284.6916110986,0.822,0.9999999112872626
2023-03-06,159819.SZ,1215284.6916110986,0.823,0.9999999113950545
2023-03-07,159819.SZ,1215284.6916110986,0.802,0.999999909074975
2023-03-08,159819.SZ,1215284.6916110986,0.811,0.9999999100840073
2023-03-09,159819.SZ,1215284.6916110986,0.815,0.9999999105253128
2023-03-10,159819.SZ,1215284.6916110986,0.803,0.9999999091882067
2023-03-13,159819.SZ,1215284.6916110986,0.828,0.9999999119301085
2023-03-14,159819.SZ,1215284.6916110986,0.825,0.9999999116098544
2023-03-15,159819.SZ,1215284.6916110986,0.82,0.99999991107089
2023-03-16,159819.SZ,1215284.6916110986,0.811,0.9999999100840073
2023-03-17,159819.SZ,1215284.6916110986,0.846,0.9999999138039358
2023-03-20,159819.SZ,1215284.6916110986,0.848,0.9999999140072283
2023-03-21,159819.SZ,1215284.6916110986,0.854,0.999999914611393
2023-03-22,159819.SZ,1215284.6916110986,0.875,0.9999999166607194
2023-03-23,159819.SZ,1215284.6916110986,0.92,0.9999999207370969
2023-03-24,159819.SZ,1215284.6916110986,0.942,0.9999999225882473
2023-03-27,159819.SZ,1215284.6916110986,0.936,0.9999999220920183
2023-03-28,159819.SZ,1215284.6916110986,0.914,0.9999999202167715
2023-03-29,159819.SZ,1215284.6916110986,0.921,0.9999999208231587
2023-03-30,159819.SZ,1215284.6916110986,0.91,0.9999999198660761
2023-03-31,159819.SZ,1215284.6916110986,0.935,0.9999999220086941
2023-04-03,159819.SZ,1215284.6916110986,0.979,0.9999999255139211
2023-04-04,159819.SZ,1215284.6916110986,1.0,0.9999999270781287
2023-04-06,159819.SZ,1215284.6916110986,0.999,0.9999999270051338
2023-04-07,159819.SZ,1215284.6916110986,1.015,0.9999999281557918
2023-04-10,159819.SZ,1215284.6916110986,0.964,0.9999999243549055
2023-04-11,159819.SZ,1215284.6916110986,0.971,0.9999999249002357
2023-04-12,159819.SZ,1215284.6916110986,1.002,0.9999999272236814
2023-04-13,159819.SZ,1215284.6916110986,0.958,0.9999999238811367
2023-04-14,159819.SZ,1215284.6916110986,0.964,0.9999999243549055
2023-04-17,159819.SZ,1215284.6916110986,0.956,0.9999999237218922
2023-04-18,159819.SZ,1215284.6916110986,0.961,0.9999999241187606
2023-04-19,159819.SZ,1215284.6916110986,0.964,0.9999999243549055
2023-04-20,159819.SZ,1215284.6916110986,0.996,0.9999999267852698
2023-04-21,159819.SZ,1215284.6916110986,0.935,0.9999999220086941
2023-04-24,159819.SZ,1215284.6916110986,0.926,0.9999999212506794
2023-04-25,159819.SZ,1215284.6916110986,0.921,0.9999999208231587
2023-04-26,159819.SZ,1215284.6916110986,0.88,0.999999917134238
2023-04-27,159819.SZ,1215284.6916110986,0.87,0.999999916181758
2023-04-28,159819.SZ,1215284.6916110986,0.891,0.999999918157272
2023-05-04,159819.SZ,1215284.6916110986,0.876,0.9999999167558555
2023-05-05,159819.SZ,1215284.6916110986,0.86,0.9999999152071274
2023-05-08,510880.SH,329713.190029468,3.249,0.999999909973
2023-05-09,510880.SH,329713.190029468,3.211,0.9999999089075918
2023-05-10,510880.SH,329713.190029468,3.143,0.9999999069367731
2023-05-11,510880.SH,329713.190029468,3.136,0.9999999067290427
2023-05-12,510880.SH,329713.190029468,3.123,0.9999999063407871
2023-05-15,CASH,0.0,1.0,1.0
2023-05-16,CASH,0.0,1.0,1.0
2023-05-17,CASH,0.0,1.0,1.0
2023-05-18,CASH,0.0,1.0,1.0
2023-05-19,CASH,0.0,1.0,1.0
2023-05-22,CASH,0.0,1.0,1.0
2023-05-23,CASH,0.0,1.0,1.0
2023-05-24,CASH,0.0,1.0,1.0
2023-05-25,CASH,0.0,1.0,1.0
2023-05-26,CASH,0.0,1.0,1.0
2023-05-29,CASH,0.0,1.0,1.0
2023-05-30,CASH,0.0,1.0,1.0
2023-05-31,CASH,0.0,1.0,1.0
2023-06-01,CASH,0.0,1.0,1.0
2023-06-02,CASH,0.0,1.0,1.0
2023-06-05,CASH,0.0,1.0,1.0
2023-06-06,CASH,0.0,1.0,1.0
2023-06-07,CASH,0.0,1.0,1.0
2023-06-08,CASH,0.0,1.0,1.0
2023-06-09,CASH,0.0,1.0,1.0
2023-06-12,CASH,0.0,1.0,1.0
2023-06-13,CASH,0.0,1.0,1.0
2023-06-14,CASH,0.0,1.0,1.0
2023-06-15,CASH,0.0,1.0,1.0
2023-06-16,CASH,0.0,1.0,1.0
2023-06-19,CASH,0.0,1.0,1.0
2023-06-20,CASH,0.0,1.0,1.0
2023-06-21,CASH,0.0,1.0,1.0
2023-06-26,CASH,0.0,1.0,1.0
2023-06-27,CASH,0.0,1.0,1.0
2023-06-28,CASH,0.0,1.0,1.0
2023-06-29,CASH,0.0,1.0,1.0
2023-06-30,CASH,0.0,1.0,1.0
2023-07-03,CASH,0.0,1.0,1.0
2023-07-04,CASH,0.0,1.0,1.0
