trade_date,etf_code,theme,style,dividend_yield_abs,weighted_pb,weighted_pe_ttm,constituent_count,fundamental_source,manual_score,pb_percentile,pe_percentile,valuation_percentile,valuation_score,risk_free_10y,dividend_spread,dividend_yield_percentile,dividend_spread_percentile,growth_fundamental_score,roe_score,fundamental_score,valuation_filter_pass
2021-03-19,561560.SH,电力,stable_value,0.0222051242222561,2.074649791029514,17.897942732656983,177.0,constituent_weighted,0.5,1.0,1.0,1.0,0.0,0.032364000000000004,-0.010158875777743905,0.6875,0.6875,0.5,,0.365625,False
2021-03-19,515030.SH,新能源车,growth,0.039889794772378,1.3084463949323897,11.487038234629267,38.0,constituent_weighted,0.5,0.6666666666666666,1.0,0.8333333333333333,0.16666666666666674,0.032364000000000004,0.007525794772377997,0.8125,0.8125,0.5,,0.4760416666666667,True
2021-03-19,515790.SH,光伏,growth,0.0050800899603165,6.766714466634217,41.98012623527664,211.0,constituent_weighted,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.032364000000000004,-0.027283910039683505,0.3125,0.3125,0.5,,0.5677083333333334,True
2021-03-19,512200.SH,地产,cyclical_value,0.0377752481233179,1.4655220349583924,8.18704066193434,128.0,constituent_weighted,0.45,0.6666666666666666,1.0,0.8333333333333333,0.16666666666666674,0.032364000000000004,0.005411248123317898,0.75,0.75,0.45,,0.44166666666666665,True
2021-03-19,515210.SH,钢铁,cyclical_value,0.0208650159822868,1.5712797820690942,16.596196081504754,35.0,constituent_weighted,0.5,0.16666666666666666,1.0,0.5833333333333334,0.41666666666666663,0.032364000000000004,-0.011498984017713203,0.625,0.625,0.5,,0.5104166666666666,True
2021-03-19,515220.SH,煤炭,cyclical_value,0.0412672393600485,1.2608362611991537,11.246566780183676,35.0,constituent_weighted,0.5,0.6666666666666666,1.0,0.8333333333333333,0.16666666666666674,0.032364000000000004,0.008903239360048498,0.875,0.875,0.5,,0.4979166666666667,True
2021-03-19,159819.SZ,人工智能,growth,0.0043464736126154,6.785675488471078,56.81082633954864,226.0,constituent_weighted,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.032364000000000004,-0.028017526387384604,0.25,0.25,0.5,,0.5458333333333334,True
2021-03-19,159995.SZ,芯片,growth,0.0014483924623568,10.854505872818937,76.36294553075017,69.0,constituent_weighted,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.032364000000000004,-0.030915607537643205,0.0625,0.0625,0.5,,0.48020833333333335,True
2021-04-02,561560.SH,电力,stable_value,0.0222051242222561,2.074649791029514,17.897942732656983,177.0,constituent_weighted,0.5,1.0,1.0,1.0,0.0,0.032364000000000004,-0.010158875777743905,0.6875,0.6875,0.5,,0.365625,False
2021-04-02,515220.SH,煤炭,cyclical_value,0.0412672393600485,1.2608362611991537,11.246566780183676,35.0,constituent_weighted,0.5,0.7142857142857143,1.0,0.8571428571428572,0.1428571428571428,0.032364000000000004,0.008903239360048498,0.875,0.875,0.5,,0.4883928571428571,True
2021-04-02,515790.SH,光伏,growth,0.0050800899603165,6.766714466634217,41.98012623527664,211.0,constituent_weighted,0.5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.032364000000000004,-0.027283910039683505,0.3125,0.3125,0.5,,0.5200892857142858,True
2021-04-02,512480.SH,半导体,growth,0.0018540929817241,11.817847370412752,74.75868438373803,46.0,constituent_weighted,0.5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.032364000000000004,-0.030509907018275904,0.125,0.125,0.5,,0.45446428571428577,True
2021-04-02,512010.SH,医药,growth,0.0066324508265358,10.372262738789846,40.49472365454258,318.0,constituent_weighted,0.5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.032364000000000004,-0.025731549173464204,0.4375,0.4375,0.5,,0.5638392857142858,True
2021-04-02,159995.SZ,芯片,growth,0.0014483924623568,10.854505872818937,76.36294553075017,69.0,constituent_weighted,0.5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.032364000000000004,-0.030915607537643205,0.0625,0.0625,0.5,,0.43258928571428573,True
2021-04-02,159928.SZ,消费,stable_value,0.0094097968062724,15.392652557450011,50.64426522177972,111.0,constituent_weighted,0.5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.032364000000000004,-0.022954203193727603,0.5,0.5,0.5,,0.5857142857142857,True
2021-04-02,512200.SH,地产,cyclical_value,0.0377752481233179,1.4655220349583924,8.18704066193434,128.0,constituent_weighted,0.45,0.7142857142857143,1.0,0.8571428571428572,0.1428571428571428,0.032364000000000004,0.005411248123317898,0.75,0.75,0.45,,0.43214285714285705,True
2021-04-02,515210.SH,钢铁,cyclical_value,0.0208650159822868,1.5712797820690942,16.596196081504754,35.0,constituent_weighted,0.5,0.2857142857142857,1.0,0.6428571428571428,0.3571428571428572,0.032364000000000004,-0.011498984017713203,0.625,0.625,0.5,,0.4866071428571429,True
2021-04-02,512660.SH,军工,growth,0.003015380084599,4.694720276063153,58.08147278834974,75.0,constituent_weighted,0.5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.032364000000000004,-0.029348619915401004,0.1875,0.1875,0.5,,0.47633928571428574,True
2021-04-02,512400.SH,有色,cyclical_value,0.0054119316408374,4.330054242311228,52.34456476016264,124.0,constituent_weighted,0.5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.032364000000000004,-0.026952068359162605,0.375,0.375,0.5,,0.5419642857142857,True
2021-04-02,512000.SH,证券,cyclical_value,0.0121818835284985,2.114855415581809,21.00714226264405,47.0,constituent_weighted,0.5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.032364000000000004,-0.020182116471501504,0.5625,0.5625,0.5,,0.6075892857142857,True
2021-04-02,515030.SH,新能源车,growth,0.039889794772378,1.3084463949323897,11.487038234629267,38.0,constituent_weighted,0.5,0.7142857142857143,1.0,0.8571428571428572,0.1428571428571428,0.032364000000000004,0.007525794772377997,0.8125,0.8125,0.5,,0.4665178571428571,True
2021-04-02,512800.SH,银行,stable_value,0.0427246814733388,0.944186780159004,7.023812393481407,38.0,constituent_weighted,0.55,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.032364000000000004,0.010360681473338795,0.9375,0.9375,0.55,,0.5799107142857143,True
2021-04-02,510880.SH,红利,stable_value,0.055,,,0.0,manual_fallback,0.55,,,,0.55,0.032364000000000004,0.022635999999999996,1.0,1.0,0.55,,0.7075,True
2021-04-02,159819.SZ,人工智能,growth,0.0043464736126154,6.785675488471078,56.81082633954864,226.0,constituent_weighted,0.5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.032364000000000004,-0.028017526387384604,0.25,0.25,0.5,,0.4982142857142857,True
2021-04-16,515220.SH,煤炭,cyclical_value,0.0412672393600485,1.2608362611991537,11.246566780183676,35.0,constituent_weighted,0.5,0.75,1.0,0.875,0.125,0.032364000000000004,0.008903239360048498,0.875,0.875,0.5,,0.48124999999999996,True
2021-04-16,510880.SH,红利,stable_value,0.055,,,0.0,manual_fallback,0.55,,,,0.55,0.032364000000000004,0.022635999999999996,1.0,1.0,0.55,,0.7075,True
2021-04-16,159928.SZ,消费,stable_value,0.0094097968062724,15.392652557450011,50.64426522177972,111.0,constituent_weighted,0.5,0.375,0.375,0.375,0.625,0.032364000000000004,-0.022954203193727603,0.5,0.5,0.5,,0.55,True
2021-04-16,159995.SZ,芯片,growth,0.0014483924623568,10.854505872818937,76.36294553075017,69.0,constituent_weighted,0.5,0.375,0.375,0.375,0.625,0.032364000000000004,-0.030915607537643205,0.0625,0.0625,0.5,,0.396875,True
