trade_date,etf_code,theme,style,dividend_yield_abs,weighted_pb,weighted_pe_ttm,constituent_count,source
2022-05-20,512200.SH,地产,cyclical_value,0.03849354598752964,1.4154573818870084,12.705339632194304,124,constituent_weighted
2022-05-20,159928.SZ,消费,stable_value,0.012204395534422829,9.392685935045154,35.462420310632865,115,constituent_weighted
2022-05-20,512010.SH,医药,growth,0.010671446426981136,6.526123539139447,25.231715032926292,337,constituent_weighted
2022-05-20,512480.SH,半导体,growth,0.002636238872873713,8.643189128529423,39.73901904972416,47,constituent_weighted
2022-05-20,159995.SZ,芯片,growth,0.0021816877088269835,7.888847966954498,42.242342987370414,99,constituent_weighted
2022-05-20,159819.SZ,人工智能,growth,0.00837689348010112,4.42433509160287,37.20057043383227,247,constituent_weighted
2022-05-20,512660.SH,军工,growth,0.004163588100501831,4.451693759323447,52.61087108808942,98,constituent_weighted
2022-05-20,515030.SH,新能源车,growth,0.03522215543382885,1.7610507282552887,9.00081695747753,35,constituent_weighted
2022-05-20,515790.SH,光伏,growth,0.004384470229849604,7.108806046157507,35.83378585409954,244,constituent_weighted
2022-05-20,512400.SH,有色,cyclical_value,0.006675890574462281,4.539327336999317,20.20969271110942,126,constituent_weighted
2022-05-20,515220.SH,煤炭,cyclical_value,0.03488008107893923,1.7619918574984896,9.03549452339627,36,constituent_weighted
2022-05-20,515210.SH,钢铁,cyclical_value,0.0454480921535086,1.84766766789254,8.46707324026357,43,constituent_weighted
2022-05-20,561560.SH,电力,stable_value,0.02398258505506648,2.1523745505451832,25.831070823301587,119,constituent_weighted
2022-06-17,512000.SH,证券,cyclical_value,0.015355569035470073,1.991154700786584,17.488510779832204,47,constituent_weighted
2022-06-17,512800.SH,银行,stable_value,0.03825332659132427,0.6991639294231056,5.057589425199857,42,constituent_weighted
2022-06-17,512200.SH,地产,cyclical_value,0.0382659640741634,1.3647261394495802,11.929255617791005,124,constituent_weighted
2022-06-17,159928.SZ,消费,stable_value,0.011423532727507783,10.551532174328322,38.40687389242348,116,constituent_weighted
2022-06-17,512010.SH,医药,growth,0.010613648891862285,7.11639383375218,26.444215271520402,340,constituent_weighted
2022-06-17,512480.SH,半导体,growth,0.0028788398978972615,8.346792890992633,39.5455903119385,47,constituent_weighted
2022-06-17,159995.SZ,芯片,growth,0.0023787756128787283,7.6762037445036375,42.326559516948286,101,constituent_weighted
2022-06-17,159819.SZ,人工智能,growth,0.008172299183208965,5.115819381876408,40.09259242130567,247,constituent_weighted
2022-06-17,512660.SH,军工,growth,0.004760909815238023,4.804750235229341,55.741695924422096,99,constituent_weighted
2022-06-17,515030.SH,新能源车,growth,0.03551939607909052,1.9299899377087975,9.586710456651895,35,constituent_weighted
2022-06-17,515790.SH,光伏,growth,0.004939261041692838,8.16657515962791,40.37395791977549,247,constituent_weighted
2022-06-17,512400.SH,有色,cyclical_value,0.009071069824883211,5.646228701008937,22.8583578721043,126,constituent_weighted
2022-06-17,515220.SH,煤炭,cyclical_value,0.035386679593857155,1.9305586444349063,9.617603688439159,36,constituent_weighted
2022-06-17,515210.SH,钢铁,cyclical_value,0.05216822757465066,2.0789341894477604,8.70795633558319,44,constituent_weighted
2022-06-17,561560.SH,电力,stable_value,0.023551853410162776,2.266202761683616,26.69437550019967,121,constituent_weighted
2022-07-29,512000.SH,证券,cyclical_value,0.02095133321737793,1.854290613478952,16.358594853751104,48,constituent_weighted
2022-07-29,512800.SH,银行,stable_value,0.058485054804485584,0.660287054953502,4.673235619641086,42,constituent_weighted
2022-07-29,512200.SH,地产,cyclical_value,0.03039272957152066,1.3258237808506843,11.607013450440965,114,constituent_weighted
2022-07-29,159928.SZ,消费,stable_value,0.012967601549790533,11.269031112512883,37.70444293399867,115,constituent_weighted
2022-07-29,512010.SH,医药,growth,0.010551273004678171,6.6199573475513205,25.333552046801692,341,constituent_weighted
2022-07-29,512480.SH,半导体,growth,0.0033503209477043464,8.43813906507886,39.110568248662176,43,constituent_weighted
2022-07-29,159995.SZ,芯片,growth,0.002770390793761644,7.569178020441679,41.66284287912059,105,constituent_weighted
2022-07-29,159819.SZ,人工智能,growth,0.008103049733857932,5.412492067875669,40.38762019747387,249,constituent_weighted
2022-07-29,512660.SH,军工,growth,0.004342024076838801,5.182694460699415,58.78374196873567,95,constituent_weighted
2022-07-29,515030.SH,新能源车,growth,0.06313271225661839,1.9609444789423072,8.630581060766787,36,constituent_weighted
2022-07-29,515790.SH,光伏,growth,0.00483591686948285,7.644058147612855,42.97545254293726,238,constituent_weighted
2022-07-29,512400.SH,有色,cyclical_value,0.008975043923125507,4.891124665275591,21.761684197390966,119,constituent_weighted
2022-07-29,515220.SH,煤炭,cyclical_value,0.06318912878253087,1.927945399283057,8.595534621403434,36,constituent_weighted
2022-07-29,515210.SH,钢铁,cyclical_value,0.054196365504117,2.204554458509879,8.295020955989347,43,constituent_weighted
